weight,word,color,url
16,youtube.com > 172.217.10.14,,
16,apple.com > 17.253.144.10,,
16,google.com > 172.217.10.78,,
16,microsoft.com > 104.215.148.63,,
16,cloudflare.com > 104.16.132.229,,
16,khaosod.co.th > 172.67.203.26,,
16,twitter.com > 104.244.42.129,,
16,roblox.com > 128.116.114.3,,
16,linkedin.com > 108.174.10.10,,
16,adobe.com > 192.147.130.204,,
16,wordpress.org > 198.143.164.252,,
16,wikipedia.org > 208.80.154.224,,
16,mozilla.org > 44.236.72.93,,
72,cytron.io > 104.26.3.180,#0DA9DD,
16,lazada.co.th > 47.89.75.205,,
16,pantip.com > 139.99.68.204,,
16,shopee.co.th > 103.120.246.129,,
16,ku.ac.th > 158.108.216.5,,
16,aliexpress.com > 198.11.132.250,,
16,vimeo.com > 151.101.64.217,,
16,cnn.com > 151.101.129.67,,
16,github.com > 140.82.114.4,,
16,netflix.com > 54.165.16.47,,
16,kaidee.com > 18.139.187.77,,
16,samsung.com > 211.45.27.231,,
16,facebook.com > 157.240.0.35,,
16,agoda.com > 103.6.182.20,,
16,bbc.co.uk > 151.101.0.81,,
16,amazon.com > 176.32.103.205,,
16,line.me > 203.104.138.138,,
16,vk.com > 87.240.190.78,,
16,paypal.com > 64.4.250.37,,
16,sanook.com > 203.151.133.212,,
16,msn.com > 13.82.28.61,,
16,dek-d.com > 61.47.47.112,,
16,instagram.com > 3.226.99.60,,
16,whatsapp.com > 31.13.66.56,,
16,thairath.co.th > 167.114.156.121,,
16,pinterest.com > 151.101.0.84,,
16,opera.com > 185.26.182.104,,
16,tiktok.com > 130.44.212.184,,
16,yahoo.com > 74.6.231.20,,
16,imdb.com > 52.94.225.248,,
16,wongnai.com > 52.76.114.113,,
16,reuters.com > 52.2.61.110,,
16,viu.com > 13.226.38.91,,
16,w3.org > 128.30.52.100,,
16,matichon.co.th > 104.27.204.89,,
16,gstatic.com > 172.217.7.3,,
16,mail.google.com > 172.217.10.101,,
16,cpe.ku.ac.th > 158.108.32.150,,
